,Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
1591,ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,158,CTS
1592,AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,250,CTS
1593,ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,192,CTS
1594,ARG,Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,143697,CTS
1595,ARM,Armenia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,210,CTS
1596,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,3,CTS
1597,AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,72384,CTS
1598,AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,3835,CTS
1599,AZE,Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,318,CTS
1600,BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,64022,CTS
1601,BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,2768,CTS
1602,BHS,Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4035,CTS
1603,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,725,CTS
1604,BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,719,CTS
1605,BLZ,Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1851,CTS/MoI
1606,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,8211,CTS
1607,BRA,Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,602782,CTS/DATASUS
1608,BRB,Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,770,CTS
1609,BTN,Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,895,CTS
1610,CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,63677,CTS
1611,CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,637,CTS
1612,CHL,Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,14502,CTS
1613,CMR,Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,6088,CTS/NSO
1614,COL,Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,164136,CTS
1615,CRI,Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,7478,CTS
1616,CYP,Cyprus,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,176,CTS
1617,CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4684,CTS
