country,region,subregion,indicator,dimension,category,sex,year,unit_of_measurement,value,source,porcentaje
Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",5.497786271,CTS,0.0055
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",327.4694471,CTS,0.3275
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",2.084315558,CTS,0.0021
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",321.1427647,CTS,0.3211
Armenia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",7.445219141,CTS,0.0074
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",3.256745534,CTS,0.0033
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",285.4577226,CTS,0.2855
Austria,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",43.18722874,CTS,0.0432
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",3.107668093,CTS,0.0031
Belgium,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",556.2019181,CTS,0.5562
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",39.24831536,CTS,0.0392
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",997.3872656,CTS,0.9974
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",21.57280957,CTS,0.0216
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",7.432315023,CTS,0.0074
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",475.7192973,CTS/MoI,0.4757
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",69.71877716,CTS,0.0697
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",284.6226313,CTS/DATASUS,0.2846
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",274.8238183,CTS,0.2748
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",116.6186076,CTS,0.1166
Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",169.7031268,CTS,0.1697
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",7.42806121,CTS,0.0074
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",76.1680226,CTS,0.0762
